Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Turmeric,1997,Whole Year ,West Bengal,9.432042885493988,10.067178295192607,1852.9,13.98762837488304,8.26103820939249,1.661,25.795,35.236,17.038
Urad,1997,Kharif     ,West Bengal,11.145796063127637,10.702817410686135,1852.9,15.701446544947624,9.974645212510088,1.825,25.795,35.236,17.038
Urad,1997,Rabi       ,West Bengal,9.722864552377755,9.264260213965613,1852.9,14.278470047913261,8.551814883728396,0.628,25.795,35.236,17.038
Wheat,1997,Rabi       ,West Bengal,12.814138403721218,13.605383177563537,1852.9,17.369800476389152,11.642961480876888,1.887,25.795,35.236,17.038
Arecanut,1998,Kharif     ,Puducherry,4.204692619390966,3.1780538303479458,1434.588,8.782905690439021,3.0027078872904163,0.35,28.324,32.859,24.576
Bajra,1998,Kharif     ,Puducherry,5.0106352940962555,5.783825182329737,1434.588,9.597111837637094,3.788951007838152,2.17,28.324,32.859,24.576
Black pepper,1998,Kharif     ,Puducherry,2.5649493574615367,2.0794415416798357,1434.588,7.078847353824543,1.4996230464268938,0.58,28.324,32.859,24.576
Coriander,1998,Kharif     ,Puducherry,1.2543220918560989,0.6931471805599453,1434.588,6.182980213266594,0.4574248470388754,0.5,28.324,32.859,24.576
Cotton(lint),1998,Summer     ,Puducherry,6.118097198041348,5.921578419643816,1434.588,10.709012073160517,4.885601031725679,0.84,28.324,32.859,24.576
Dry chillies,1998,Kharif     ,Puducherry,2.1972245773362196,3.1780538303479458,1434.588,6.673803528951324,1.199964782928397,2.75,28.324,32.859,24.576
Groundnut,1998,Rabi       ,Puducherry,6.953684210870537,7.631916513071252,1434.588,11.545835925677467,5.718145497491968,1.54,28.324,32.859,24.576
Onion,1998,Kharif     ,Puducherry,3.295836866004329,6.063785208687608,1434.588,7.851583353849381,2.1447610078004784,5.0725,28.324,32.859,24.576
Ragi,1998,Kharif     ,Puducherry,4.727387818712341,5.905361848054571,1434.588,9.31168684212194,3.5109482456212744,3.27,28.324,32.859,24.576
Rice,1998,Kharif     ,Puducherry,8.506334448081361,9.351753124926507,1434.588,13.099231895614908,7.268954970792286,2.46,28.324,32.859,24.576
Rice,1998,Rabi       ,Puducherry,9.544094632530348,10.316292325947678,1434.588,14.137121336723046,8.306395613961127,2.555,28.324,32.859,24.576
Rice,1998,Summer     ,Puducherry,8.651199471263972,9.606697461053619,1434.588,13.244123914525856,7.413753268451249,2.55,28.324,32.859,24.576
Sesamum,1998,Kharif     ,Puducherry,4.997212273764115,4.795790545596741,1434.588,9.58359904261458,3.775744987135518,0.807,28.324,32.859,24.576
Small millets,1998,Kharif     ,Puducherry,1.6094379124341003,1.3862943611198906,1434.588,6.182980213266594,0.7701082216960736,0.75,28.324,32.859,24.576
Sugarcane,1998,Kharif     ,Puducherry,7.905072849498666,12.356086207847659,1434.588,12.497805253475757,6.668101175540937,5.0725,28.324,32.859,24.576
Tapioca,1998,Kharif     ,Puducherry,6.476972362889683,9.858019364488982,1434.588,11.06854591680239,5.242857509343669,5.0725,28.324,32.859,24.576
Arecanut,1998,Whole Year ,Assam,11.217990487006878,10.92154033334582,2354.4,15.811074797217165,9.980149011765041,0.784,24.142,33.323,16.002
Arhar/Tur,1998,Kharif     ,Assam,8.943506132037239,8.592300663903043,2354.4,13.536474467722869,7.705951426673706,0.709,24.142,33.323,16.002
Banana,1998,Whole Year ,Assam,10.642706921198457,13.27402811268749,2354.4,15.235780892990443,9.404891014423617,5.0725,24.142,33.323,16.002
Castor seed,1998,Kharif     ,Assam,7.455298485683291,6.5638555265321274,2354.4,12.047823411425606,6.218839134950008,0.411,24.142,33.323,16.002
Coconut ,1998,Whole Year ,Assam,9.911802884139842,18.43423228286143,2354.4,14.504851403613904,8.674049920872077,5.0725,24.142,33.323,16.002
Cotton(lint),1998,Kharif     ,Assam,7.410347097821024,6.62273632394984,2354.4,12.002845685606225,6.173952756681257,0.399,24.142,33.323,16.002
Dry chillies,1998,Whole Year ,Assam,9.597302008519787,9.17895289873455,2354.4,14.190332386664714,8.359593905309435,0.637,24.142,33.323,16.002
Gram,1998,Rabi       ,Assam,8.00736706798333,7.315883504509785,2354.4,12.600134988512995,6.77030765650155,0.46,24.142,33.323,16.002
Jute,1998,Kharif     ,Assam,11.273436553119883,13.44034281424493,2354.4,15.866521580401846,10.035593304417638,5.0725,24.142,33.323,16.002
Linseed,1998,Rabi       ,Assam,9.232395362757014,8.558910784768106,2354.4,13.825396134245663,7.994760465108494,0.481,24.142,33.323,16.002
Maize,1998,Kharif     ,Assam,9.893992617974327,9.54438108340598,2354.4,14.487040255372966,8.656241835976726,0.609,24.142,33.323,16.002
Mesta,1998,Kharif     ,Assam,8.568076401730806,10.151284691288994,2354.4,13.160985834715188,7.330667300694022,4.91,24.142,33.323,16.002
Niger seed,1998,Kharif     ,Assam,9.07726601775084,8.4071550862073,2354.4,13.67025053882713,7.839671297751621,0.521,24.142,33.323,16.002
Onion,1998,Whole Year ,Assam,8.997642078523512,9.81694879111889,2354.4,13.59061722667759,7.760070531181124,2.34,24.142,33.323,16.002
Other  Rabi pulses,1998,Rabi       ,Assam,11.6625688593736,11.040214173312895,2354.4,16.25565794108872,10.424715583171347,0.508,24.142,33.323,16.002
Potato,1998,Whole Year ,Assam,11.251028091492175,13.322979889580411,2354.4,15.84411283374897,10.013185547714205,5.0725,24.142,33.323,16.002
Rapeseed &Mustard,1998,Rabi       ,Assam,12.573593558722195,11.817700614848187,2354.4,17.166687736268873,11.335727679213619,0.473,24.142,33.323,16.002
Rice,1998,Autumn     ,Assam,13.296283070517443,13.16274879663946,2354.4,17.889379011552542,12.058412829395024,1.056,24.142,33.323,16.002
Rice,1998,Summer     ,Assam,12.319017328546305,13.008332045298872,2354.4,16.912110512492447,11.081153906485742,1.685,24.142,33.323,16.002
Rice,1998,Winter     ,Assam,14.30729463673746,14.643238892456484,2354.4,18.900391636146324,13.069421777939619,1.396,24.142,33.323,16.002
Sesamum,1998,Kharif     ,Assam,9.676649685633647,9.01322999770879,2354.4,14.269685192070066,8.438928901420113,0.485,24.142,33.323,16.002
Small millets,1998,Kharif     ,Assam,9.263691547473178,8.603554357064281,2354.4,13.85669530268272,8.026049272602934,0.521,24.142,33.323,16.002
Sugarcane,1998,Whole Year ,Assam,10.327839836362775,14.017290728640212,2354.4,14.920905061992945,9.090045559447757,5.0725,24.142,33.323,16.002
Sweet potato,1998,Whole Year ,Assam,9.152075463844207,10.387085854047635,2354.4,13.745068136387038,7.9144605903773995,3.436,24.142,33.323,16.002
Tapioca,1998,Whole Year ,Assam,7.937017489515454,9.492658081928813,2354.4,12.529761377362803,6.700017447817776,4.445,24.142,33.323,16.002
Tobacco,1998,Whole Year ,Assam,7.290292882446597,6.597145701886651,2354.4,11.882715035025827,6.05408717158709,0.57,24.142,33.323,16.002
Turmeric,1998,Whole Year ,Assam,9.280798835624744,8.911529941736559,2354.4,13.873804182763923,8.043152624692247,0.667,24.142,33.323,16.002
Wheat,1998,Rabi       ,Assam,11.40302130926253,11.413215620821216,2354.4,15.99610786521723,10.165174279834833,1.0,24.142,33.323,16.002
Arecanut,1998,Whole Year ,Goa,7.313886831633462,7.507141079727608,2964.9,11.906324739459684,6.077642243349034,1.21,25.083,34.938,17.258
Banana,1998,Whole Year ,Goa,7.550135342488429,9.575052927597383,2964.9,12.142712096977055,6.313548046277095,5.0725,25.083,34.938,17.258
Black pepper,1998,Whole Year ,Goa,5.5254529391317835,4.2626798770413155,2964.9,10.114599007626499,4.297285406218791,0.28,25.083,34.938,17.258
Cashewnut,1998,Whole Year ,Goa,10.87570482869929,9.61587214452889,2964.9,15.468783712524747,9.637876773839656,0.28,25.083,34.938,17.258
Coconut ,1998,Whole Year ,Goa,10.120975138994181,18.43423228286143,2964.9,14.714032923230228,8.88319926464142,5.0725,25.083,34.938,17.258
Groundnut,1998,Kharif     ,Goa,5.860786223465865,6.023447592961033,2964.9,10.451059677269122,4.629862798578463,1.18,25.083,34.938,17.258
Groundnut,1998,Rabi       ,Goa,6.955592608396297,7.661527081358517,2964.9,11.547746127467457,5.720049447120073,2.03,25.083,34.938,17.258
Other  Rabi pulses,1998,Rabi       ,Goa,9.067854723679428,9.129238770539141,2964.9,13.660838175407143,7.830262647466663,1.06,25.083,34.938,17.258
Other Kharif pulses,1998,Kharif     ,Goa,7.0909098220799835,5.783825182329737,2964.9,11.68318287504225,5.855071922202427,0.27,25.083,34.938,17.258
